ECM Measure(s),ECM Cost (£),Annual Operating Cost (£),Annual Electricity Saving (kWh),Electricity Saving (%),Annual Gas Saving (kWh),Gas Saving (%),Total Annual Energy Saving (kWh),Energy Saving (%),Total Annual Energy Cost Saving (£),Total Annual Carbon Saving (tCO₂e),Annual Energy Consumption (kWh),Payback (Years)
None,0,56538.55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,523894.0,0.0
Triple Glazing,73844,55407.25,0,0,11313.0,2.28,11313.0,2.05,1131.3,2.07,512581.0,65.3
Roof Insulation,39280,42943.75,0,0,135948.0,27.4,135948.0,25.9,13594.8,24.5,387946.0,2.89
IWI,39662,52578.55,0,0,39600.0,7.98,39600.0,7.56,3960.0,7.13,484294.0,10.01
Floor Insulation,31364,55629.3,0,0,9092.5,1.81,9092.5,1.73,909.25,1.66,514801.5,34.5
MVHR,28000,50045.8,0,0,23436.0,4.72,23436.0,4.47,2343.6,4.26,500458.0,11.95
Triple Glazing + Roof Insulation,113124,43285.060000000005,0,0,132534.9,25.29803738924286,132534.9,25.29803738924286,13253.49,23.913,391359.1,8.54
Triple Glazing + IWI,113506,51956.380000000005,0,0,45821.700000000004,8.746368540200882,45821.700000000004,8.746368540200882,4582.17,8.28,478072.3,24.77
Triple Glazing + Floor Insulation,105208,54702.055,0,0,18364.95,3.5054705722913413,18364.95,3.5054705722913413,1836.495,3.3569999999999998,505529.05,57.29
Triple Glazing + MVHR,101844,53411.14,0,0,31274.100000000002,5.969547274830405,31274.100000000002,5.969547274830405,3127.41,5.697,492619.9,32.56
Roof Insulation + IWI,78942,40739.23,0,0,157993.2,30.157474603641198,157993.2,30.157474603641198,15799.32,28.467,365900.8,5.0
Roof Insulation + Floor Insulation,70644,43484.905,0,0,130536.45,24.916576635731655,130536.45,24.916576635731655,13053.645,23.544,393357.55,5.41
Roof Insulation + MVHR,67280,42193.990000000005,0,0,143445.6,27.380653338270722,143445.6,27.380653338270722,14344.56,25.884,380448.4,4.69
IWI + Floor Insulation,71026,52156.225000000006,0,0,43823.25,8.364907786689674,43823.25,8.364907786689674,4382.325,7.911,480070.75,16.21
IWI + MVHR,67662,50865.310000000005,0,0,56732.4,10.828984489228738,56732.4,10.828984489228738,5673.240000000001,10.251000000000001,467161.6,11.93
Floor Insulation + MVHR,59364,53610.985,0,0,29275.65,5.588086521319199,29275.65,5.588086521319199,2927.565,5.328,494618.35,20.28
Triple Glazing + Roof Insulation + IWI,152786,41402.809,0,0,151357.41,28.890846239888223,151357.41,28.890846239888223,15135.741,27.297000000000004,372536.58999999997,10.09
Triple Glazing + Roof Insulation + Floor Insulation,144488,43873.91650000001,0,0,126646.335,24.174038068769637,126646.335,24.174038068769637,12664.6335,22.866300000000003,397247.665,11.41
Triple Glazing + Roof Insulation + MVHR,141124,42712.09300000001,0,0,138264.57,26.391707101054795,138264.57,26.391707101054795,13826.456999999999,24.9723,385629.43,10.21
Triple Glazing + IWI + Floor Insulation,144870,51678.1045,0,0,48604.455,9.277536104631853,48604.455,9.277536104631853,4860.445500000001,8.7966,475289.545,29.81
Triple Glazing + IWI + MVHR,141506,50516.281,0,0,60222.69,11.49520513691701,60222.69,11.49520513691701,6022.269,10.9026,463671.31,23.5
Triple Glazing + Floor Insulation + MVHR,133208,52987.3885,0,0,35511.615000000005,6.778396965798426,35511.615000000005,6.778396965798426,3551.1615,6.4719,488382.385,37.51
Roof Insulation + IWI + Floor Insulation,110306,41582.6695,0,0,149558.80500000002,28.54753156172814,149558.80500000002,28.54753156172814,14955.880500000001,26.9649,374335.19499999995,7.38
Roof Insulation + IWI + MVHR,106942,40420.846000000005,0,0,161177.04,30.765200594013294,161177.04,30.765200594013294,16117.704,29.0709,362716.95999999996,6.64
Roof Insulation + Floor Insulation + MVHR,98644,42891.9535,0,0,136465.965,26.048392422894707,136465.965,26.048392422894707,13646.5965,24.640200000000004,387428.03500000003,7.23
IWI + Floor Insulation + MVHR,99026,50696.141500000005,0,0,58424.08500000001,11.151890458756926,58424.08500000001,11.151890458756926,5842.4085000000005,10.5705,465469.915,16.95
Triple Glazing + Roof Insulation + IWI + Floor Insulation,184150,42253.53985,0,0,142850.10150000002,27.266985592505357,142850.10150000002,27.266985592505357,14285.01015,25.777440000000002,381043.8985,12.89
Triple Glazing + Roof Insulation + IWI + MVHR,180786,41207.898700000005,0,0,153306.513,29.262887721562,153306.513,29.262887721562,15330.6513,27.672840000000004,370587.48699999996,11.79
Triple Glazing + Roof Insulation + Floor Insulation + MVHR,172488,43431.89545,0,0,131066.54550000002,25.017760367555276,131066.54550000002,25.017760367555276,13106.65455,23.685210000000005,392827.4545,13.16
Triple Glazing + IWI + Floor Insulation + MVHR,172870,50455.664650000006,0,0,60828.853500000005,11.610908599831264,60828.853500000005,11.610908599831264,6082.8853500000005,11.022480000000002,463065.1465,28.42
Roof Insulation + IWI + Floor Insulation + MVHR,138306,41369.77315,0,0,151687.7685,28.95390451121792,151687.7685,28.95390451121792,15168.77685,27.37395,372206.2315,9.12
Triple Glazing + Roof Insulation + IWI + Floor Insulation + MVHR,212150,42144.404905,0,0,143941.45095,27.475300528351156,143941.45095,27.475300528351156,14394.145094999998,25.994681999999997,379952.54905000003,14.74
